autowalk want=1 now=(520,425) orig=(537,427) side=1 target=535 ms=0 wrote=1
autowalk want=1 now=(524,429) orig=(537,427) side=1 target=539 ms=0 wrote=1
autowalk want=1 now=(524,429) orig=(537,427) side=6 target=524 ms=1 wrote=1
autowalk want=1 now=(524,414) orig=(537,427) side=6 target=524 ms=0 wrote=1
autowalk want=1 now=(524,409) orig=(537,427) side=6 target=524 ms=0 wrote=1
autowalk want=1 now=(524,409) orig=(537,427) side=5 target=509 ms=1 wrote=1
autowalk want=1 now=(509,394) orig=(537,427) side=5 target=494 ms=0 wrote=1
autowalk want=1 now=(507,392) orig=(537,427) side=5 target=492 ms=0 wrote=1
autowalk want=1 now=(507,392) orig=(537,427) side=3 target=492 ms=1 wrote=1
autowalk want=1 now=(492,407) orig=(537,427) side=3 target=477 ms=0 wrote=1
autowalk want=1 now=(477,422) orig=(537,427) side=3 target=462 ms=0 wrote=1
autowalk want=1 now=(476,423) orig=(537,427) side=3 target=461 ms=0 wrote=1
autowalk want=1 now=(476,423) orig=(537,427) side=7 target=491 ms=1 wrote=1
autowalk want=1 now=(485,413) orig=(537,427) side=7 target=500 ms=0 wrote=1
autowalk want=1 now=(484,415) orig=(537,427) side=7 target=499 ms=1 wrote=1
autowalk want=1 now=(484,415) orig=(537,427) side=0 target=499 ms=1 wrote=1
autowalk want=1 now=(499,415) orig=(537,427) side=0 target=514 ms=0 wrote=1
autowalk want=1 now=(514,415) orig=(537,427) side=0 target=529 ms=0 wrote=1
autowalk want=1 now=(529,415) orig=(537,427) side=0 target=544 ms=0 wrote=1
autowalk want=1 now=(544,415) orig=(537,427) side=0 target=559 ms=0 wrote=1
autowalk want=1 now=(559,415) orig=(537,427) side=0 target=574 ms=0 wrote=1
autowalk want=1 now=(574,415) orig=(537,427) side=0 target=589 ms=0 wrote=1
autowalk want=1 now=(576,415) orig=(537,427) side=0 target=591 ms=0 wrote=1
autowalk want=1 now=(576,415) orig=(537,427) side=1 target=591 ms=1 wrote=1
autowalk want=1 now=(591,430) orig=(537,427) side=1 target=606 ms=0 wrote=1
autowalk want=1 now=(591,430) orig=(537,427) side=4 target=576 ms=1 wrote=1
autowalk want=1 now=(591,430) orig=(537,427) side=7 target=606 ms=1 wrote=1
autowalk want=1 now=(606,415) orig=(537,427) side=7 target=621 ms=0 wrote=1
autowalk want=1 now=(608,413) orig=(537,427) side=7 target=623 ms=0 wrote=1
autowalk want=1 now=(608,413) orig=(537,427) side=2 target=608 ms=1 wrote=1
autowalk want=1 now=(608,422) orig=(537,427) side=2 target=608 ms=0 wrote=1
autowalk want=1 now=(608,421) orig=(537,427) side=2 target=608 ms=1 wrote=1
autowalk want=1 now=(608,421) orig=(537,427) side=1 target=623 ms=1 wrote=1
autowalk want=1 now=(615,436) orig=(537,427) side=1 target=630 ms=0 wrote=1
autowalk want=1 now=(615,436) orig=(537,427) side=3 target=600 ms=0 wrote=1
autowalk want=1 now=(600,451) orig=(537,427) side=3 target=585 ms=0 wrote=1
autowalk want=1 now=(585,466) orig=(537,427) side=3 target=570 ms=0 wrote=1
autowalk want=1 now=(570,481) orig=(537,427) side=3 target=555 ms=0 wrote=1
autowalk want=1 now=(555,496) orig=(537,427) side=3 target=540 ms=0 wrote=1
autowalk want=1 now=(540,511) orig=(537,427) side=3 target=525 ms=0 wrote=1
autowalk want=1 now=(529,522) orig=(537,427) side=3 target=514 ms=0 wrote=1
autowalk want=1 now=(529,522) orig=(537,427) side=6 target=529 ms=1 wrote=1
autowalk want=1 now=(529,507) orig=(537,427) side=6 target=529 ms=0 wrote=1
autowalk want=1 now=(529,492) orig=(537,427) side=6 target=529 ms=0 wrote=1
autowalk want=1 now=(529,478) orig=(537,427) side=6 target=529 ms=0 wrote=1
autowalk want=1 now=(529,478) orig=(537,427) side=1 target=544 ms=1 wrote=1
autowalk want=1 now=(539,485) orig=(537,427) side=1 target=554 ms=0 wrote=1
autowalk want=1 now=(538,485) orig=(537,427) side=1 target=553 ms=1 wrote=1
autowalk want=1 now=(538,485) orig=(537,427) side=3 target=523 ms=1 wrote=1
autowalk want=1 now=(537,485) orig=(537,427) side=3 target=522 ms=0 wrote=1
autowalk want=1 now=(537,485) orig=(537,427) side=6 target=537 ms=0 wrote=1
autowalk want=1 now=(537,470) orig=(537,427) side=6 target=537 ms=0 wrote=1
autowalk want=1 now=(537,455) orig=(537,427) side=6 target=537 ms=0 wrote=1
autowalk want=1 now=(537,440) orig=(537,427) side=6 target=537 ms=0 wrote=1
autowalk want=1 now=(537,425) orig=(537,427) side=6 target=537 ms=0 wrote=1
autowalk want=1 now=(537,410) orig=(537,427) side=6 target=537 ms=0 wrote=1
autowalk want=1 now=(537,402) orig=(537,427) side=6 target=537 ms=0 wrote=1
autowalk want=1 now=(537,402) orig=(537,427) side=3 target=522 ms=1 wrote=1
autowalk want=1 now=(522,417) orig=(537,427) side=3 target=507 ms=0 wrote=1
autowalk want=1 now=(523,416) orig=(537,427) side=3 target=508 ms=1 wrote=1
autowalk want=1 now=(523,416) orig=(537,427) side=7 target=538 ms=1 wrote=1
autowalk want=1 now=(538,401) orig=(537,427) side=7 target=553 ms=0 wrote=1
autowalk want=1 now=(551,387) orig=(537,427) side=7 target=566 ms=0 wrote=1
autowalk want=1 now=(551,387) orig=(537,427) side=6 target=551 ms=0 wrote=1
autowalk want=1 now=(550,386) orig=(537,427) side=6 target=550 ms=0 wrote=1
autowalk want=1 now=(550,386) orig=(537,427) side=5 target=535 ms=0 wrote=1
autowalk want=1 now=(535,371) orig=(537,427) side=5 target=520 ms=0 wrote=1
autowalk want=1 now=(530,366) orig=(537,427) side=5 target=515 ms=0 wrote=1
autowalk want=1 now=(530,366) orig=(537,427) side=2 target=530 ms=1 wrote=1
autowalk want=1 now=(530,381) orig=(537,427) side=2 target=530 ms=0 wrote=1
autowalk want=1 now=(530,383) orig=(537,427) side=2 target=530 ms=0 wrote=1
autowalk want=1 now=(530,383) orig=(537,427) side=5 target=515 ms=1 wrote=1
autowalk want=1 now=(515,368) orig=(537,427) side=5 target=500 ms=0 wrote=1
autowalk want=1 now=(500,353) orig=(537,427) side=5 target=485 ms=0 wrote=1
autowalk want=1 now=(485,338) orig=(537,427) side=5 target=470 ms=0 wrote=1
autowalk want=1 now=(470,323) orig=(537,427) side=5 target=455 ms=0 wrote=1
autowalk want=1 now=(455,308) orig=(537,427) side=5 target=440 ms=0 wrote=1
autowalk want=1 now=(452,307) orig=(537,427) side=5 target=437 ms=0 wrote=1
autowalk want=1 now=(452,307) orig=(537,427) side=1 target=467 ms=0 wrote=1
autowalk want=1 now=(467,322) orig=(537,427) side=1 target=482 ms=0 wrote=1
autowalk want=1 now=(482,337) orig=(537,427) side=1 target=497 ms=0 wrote=1
autowalk want=1 now=(497,352) orig=(537,427) side=1 target=512 ms=0 wrote=1
autowalk want=1 now=(500,355) orig=(537,427) side=1 target=515 ms=0 wrote=1
autowalk want=1 now=(500,355) orig=(537,427) side=4 target=485 ms=1 wrote=1
autowalk want=1 now=(485,355) orig=(537,427) side=4 target=470 ms=0 wrote=1
autowalk want=1 now=(470,355) orig=(537,427) side=4 target=455 ms=0 wrote=1
autowalk want=1 now=(455,355) orig=(537,427) side=4 target=440 ms=0 wrote=1
autowalk want=1 now=(440,355) orig=(537,427) side=4 target=425 ms=0 wrote=1
autowalk want=1 now=(428,355) orig=(537,427) side=4 target=413 ms=0 wrote=1
autowalk want=1 now=(428,355) orig=(537,427) side=6 target=428 ms=0 wrote=1
autowalk want=1 now=(428,349) orig=(537,427) side=6 target=428 ms=0 wrote=1
