fastenc(sendmsg) ENABLED hwnd=004B02C6 (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=844 smto=1 res=0 battling=0 pos=(286,545) (1/tick)
fastenc(sendmsg) sent cnt=861 smto=1 res=0 battling=0 pos=(286,545) (1/tick)
fastenc(sendmsg) sent cnt=862 smto=1 res=0 battling=0 pos=(286,545) (1/tick)
fastenc(sendmsg) sent cnt=879 smto=1 res=0 battling=0 pos=(286,545) (1/tick)
fastenc(sendmsg) sent cnt=893 smto=1 res=0 battling=0 pos=(286,545) (1/tick)
fastenc(sendmsg) sent cnt=910 smto=1 res=0 battling=0 pos=(286,545) (1/tick)
fastenc(sendmsg) sent cnt=927 smto=1 res=0 battling=0 pos=(286,545) (1/tick)
fastenc(sendmsg) sent cnt=943 smto=1 res=0 battling=0 pos=(286,545) (1/tick)
fastenc(sendmsg) sent cnt=960 smto=1 res=0 battling=0 pos=(286,545) (1/tick)
fastenc(sendmsg) sent cnt=972 smto=1 res=0 battling=0 pos=(286,545) (1/tick)
fastenc(sendmsg) sent cnt=976 smto=1 res=0 battling=0 pos=(286,545) (1/tick)
fastenc(sendmsg) sent cnt=993 smto=1 res=0 battling=0 pos=(286,545) (1/tick)
fastenc(sendmsg) sent cnt=998 smto=1 res=0 battling=0 pos=(285,545) (1/tick)
fastenc(sendmsg) sent cnt=1014 smto=1 res=0 battling=0 pos=(285,545) (1/tick)
fastenc(sendmsg) sent cnt=1031 smto=1 res=0 battling=0 pos=(285,545) (1/tick)
fastenc(sendmsg) sent cnt=1034 smto=1 res=0 battling=0 pos=(284,545) (1/tick)
fastenc(sendmsg) sent cnt=1046 smto=1 res=0 battling=0 pos=(283,545) (1/tick)
fastenc(sendmsg) sent cnt=1063 smto=1 res=0 battling=0 pos=(283,545) (1/tick)
fastenc(sendmsg) sent cnt=1064 smto=1 res=0 battling=0 pos=(283,545) (1/tick)
fastenc(sendmsg) sent cnt=1080 smto=1 res=0 battling=0 pos=(283,545) (1/tick)
fastenc(sendmsg) sent cnt=1082 smto=1 res=0 battling=0 pos=(283,545) (1/tick)
fastenc(sendmsg) sent cnt=1091 smto=1 res=0 battling=0 pos=(283,545) (1/tick)
fastenc(sendmsg) sent cnt=1108 smto=1 res=0 battling=0 pos=(283,545) (1/tick)
fastenc(sendmsg) sent cnt=1125 smto=1 res=0 battling=0 pos=(283,545) (1/tick)
fastenc(sendmsg) sent cnt=1130 smto=1 res=0 battling=0 pos=(283,545) (1/tick)
fastenc(sendmsg) sent cnt=1136 smto=1 res=0 battling=0 pos=(282,545) (1/tick)
fastenc(sendmsg) sent cnt=1153 smto=1 res=0 battling=0 pos=(282,545) (1/tick)
fastenc(sendmsg) sent cnt=1169 smto=1 res=0 battling=0 pos=(282,545) (1/tick)
fastenc(sendmsg) sent cnt=1181 smto=1 res=0 battling=0 pos=(282,545) (1/tick)
fastenc(sendmsg) sent cnt=1188 smto=1 res=0 battling=0 pos=(281,545) (1/tick)
fastenc(sendmsg) sent cnt=1205 smto=1 res=0 battling=0 pos=(281,545) (1/tick)
fastenc(sendmsg) sent cnt=1222 smto=1 res=0 battling=0 pos=(281,545) (1/tick)
fastenc(sendmsg) sent cnt=1223 smto=1 res=0 battling=0 pos=(281,545) (1/tick)
fastenc(sendmsg) sent cnt=1230 smto=1 res=0 battling=0 pos=(281,545) (1/tick)
fastenc(sendmsg) sent cnt=1247 smto=1 res=0 battling=0 pos=(281,545) (1/tick)
fastenc(sendmsg) sent cnt=1259 smto=1 res=0 battling=0 pos=(281,545) (1/tick)
