proc=1 sub=0 sock=0 win=4294967295 btn=0 group=-1 subsrv=-1 char=-1 enable=0
proc=1 sub=2 sock=0 win=4294967295 btn=0 group=0 subsrv=0 char=0 enable=1
proc=2 sub=5 sock=2736 win=4294967295 btn=0 group=0 subsrv=0 char=0 enable=1
proc=3 sub=1 sock=2736 win=4294967295 btn=0 group=0 subsrv=0 char=0 enable=1
proc=9 sub=103 sock=2736 win=4294967295 btn=1 group=0 subsrv=0 char=0 enable=1
proc=9 sub=3 sock=2736 win=0 btn=1 group=0 subsrv=0 char=0 enable=0
proc=9 sub=3 sock=2736 win=4294967295 btn=1 group=0 subsrv=0 char=0 enable=0
proc=11 sub=1 sock=2736 win=4294967295 btn=1 group=0 subsrv=0 char=0 enable=0
proc=11 sub=2 sock=2736 win=4294967295 btn=1 group=0 subsrv=0 char=0 enable=0
proc=1 sub=2 sock=2736 win=4294967295 btn=1 group=0 subsrv=0 char=0 enable=0
proc=1 sub=3 sock=2736 win=4294967295 btn=1 group=0 subsrv=0 char=0 enable=1
proc=2 sub=5 sock=1940 win=4294967295 btn=1 group=0 subsrv=0 char=0 enable=1
proc=2 sub=101 sock=1940 win=4294967295 btn=1 group=0 subsrv=0 char=0 enable=1
proc=2 sub=5 sock=624 win=4294967295 btn=1 group=0 subsrv=0 char=0 enable=1
proc=2 sub=101 sock=624 win=4294967295 btn=1 group=0 subsrv=0 char=0 enable=1
proc=2 sub=5 sock=2804 win=4294967295 btn=1 group=0 subsrv=0 char=0 enable=1
proc=2 sub=101 sock=2804 win=4294967295 btn=1 group=0 subsrv=0 char=0 enable=1
proc=2 sub=5 sock=2804 win=4294967295 btn=1 group=0 subsrv=0 char=0 enable=1
proc=2 sub=101 sock=2804 win=4294967295 btn=1 group=0 subsrv=0 char=0 enable=1
proc=2 sub=5 sock=2860 win=4294967295 btn=1 group=0 subsrv=0 char=0 enable=1
proc=2 sub=101 sock=2860 win=4294967295 btn=1 group=0 subsrv=0 char=0 enable=1
proc=2 sub=5 sock=1940 win=4294967295 btn=1 group=0 subsrv=0 char=0 enable=1
proc=2 sub=101 sock=1940 win=4294967295 btn=1 group=0 subsrv=0 char=0 enable=1
proc=2 sub=5 sock=2860 win=4294967295 btn=1 group=0 subsrv=0 char=0 enable=1
proc=2 sub=101 sock=2860 win=4294967295 btn=1 group=0 subsrv=0 char=0 enable=1
proc=2 sub=5 sock=1940 win=4294967295 btn=1 group=0 subsrv=0 char=0 enable=1
proc=2 sub=101 sock=1940 win=4294967295 btn=1 group=0 subsrv=0 char=0 enable=1
proc=2 sub=5 sock=2828 win=4294967295 btn=1 group=0 subsrv=0 char=0 enable=1
proc=2 sub=101 sock=2828 win=4294967295 btn=1 group=0 subsrv=0 char=0 enable=1
proc=2 sub=5 sock=840 win=4294967295 btn=1 group=0 subsrv=0 char=0 enable=1
proc=3 sub=1 sock=840 win=4294967295 btn=1 group=0 subsrv=0 char=0 enable=1
proc=9 sub=103 sock=840 win=4294967295 btn=1 group=0 subsrv=0 char=0 enable=1
proc=9 sub=3 sock=840 win=0 btn=1 group=0 subsrv=0 char=0 enable=0
proc=9 sub=3 sock=840 win=4294967295 btn=1 group=0 subsrv=0 char=0 enable=0
proc=9 sub=5 sock=840 win=4294967295 btn=1 group=0 subsrv=0 char=0 enable=0
proc=10 sub=1 sock=840 win=4294967295 btn=1 group=0 subsrv=0 char=0 enable=0
proc=10 sub=3 sock=840 win=4294967295 btn=1 group=0 subsrv=0 char=0 enable=0
proc=10 sub=5 sock=840 win=4294967295 btn=1 group=0 subsrv=0 char=0 enable=0
proc=10 sub=6 sock=840 win=4294967295 btn=1 group=0 subsrv=0 char=0 enable=0
