fastenc(sendmsg) ENABLED hwnd=005B0528 (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=1087 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1104 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1121 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1138 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1154 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1171 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1188 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1205 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1222 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1239 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1255 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1272 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1289 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1306 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1322 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1339 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1356 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1373 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1390 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1407 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1424 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1441 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1458 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1474 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1490 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1507 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1524 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
