autowalk want=1 now=(547,357) orig=(492,343) side=1 target=552 ms=0 wrote=1
autowalk want=1 now=(547,357) orig=(492,343) side=6 target=547 ms=0 wrote=1
autowalk want=1 now=(547,357) orig=(492,343) side=5 target=542 ms=0 wrote=1
autowalk want=1 now=(542,352) orig=(492,343) side=5 target=537 ms=0 wrote=1
autowalk want=1 now=(543,353) orig=(492,343) side=5 target=538 ms=1 wrote=1
autowalk want=1 now=(543,353) orig=(492,343) side=1 target=548 ms=1 wrote=1
autowalk want=1 now=(543,353) orig=(492,343) side=2 target=543 ms=1 wrote=1
autowalk want=1 now=(543,353) orig=(492,343) side=7 target=548 ms=1 wrote=1
autowalk want=1 now=(543,353) orig=(492,343) side=0 target=548 ms=1 wrote=1
autowalk want=1 now=(548,353) orig=(492,343) side=0 target=553 ms=0 wrote=1
autowalk want=1 now=(550,353) orig=(492,343) side=0 target=555 ms=0 wrote=1
autowalk want=1 now=(550,353) orig=(492,343) side=1 target=555 ms=0 wrote=1
autowalk want=1 now=(550,353) orig=(492,343) side=0 target=555 ms=0 wrote=1
autowalk want=1 now=(550,353) orig=(492,343) side=5 target=545 ms=0 wrote=1
autowalk want=1 now=(545,348) orig=(492,343) side=5 target=540 ms=0 wrote=1
autowalk want=1 now=(540,343) orig=(492,343) side=5 target=535 ms=0 wrote=1
autowalk want=1 now=(535,338) orig=(492,343) side=5 target=530 ms=0 wrote=1
autowalk want=1 now=(531,334) orig=(492,343) side=5 target=526 ms=0 wrote=1
autowalk want=1 now=(531,334) orig=(492,343) side=7 target=536 ms=1 wrote=1
autowalk want=1 now=(531,334) orig=(492,343) side=5 target=526 ms=1 wrote=1
autowalk want=1 now=(529,329) orig=(492,343) side=5 target=524 ms=0 wrote=1
autowalk want=1 now=(529,326) orig=(492,343) side=5 target=524 ms=0 wrote=1
autowalk want=1 now=(529,326) orig=(492,343) side=0 target=534 ms=0 wrote=1
autowalk want=1 now=(534,326) orig=(492,343) side=0 target=539 ms=0 wrote=1
autowalk want=1 now=(537,327) orig=(492,343) side=0 target=542 ms=0 wrote=1
autowalk want=1 now=(537,327) orig=(492,343) side=3 target=532 ms=0 wrote=1
autowalk want=1 now=(532,332) orig=(492,343) side=3 target=527 ms=0 wrote=1
autowalk want=1 now=(527,337) orig=(492,343) side=3 target=522 ms=0 wrote=1
autowalk want=1 now=(522,342) orig=(492,343) side=3 target=517 ms=0 wrote=1
autowalk want=1 now=(517,347) orig=(492,343) side=3 target=512 ms=0 wrote=1
autowalk want=1 now=(512,352) orig=(492,343) side=3 target=507 ms=0 wrote=1
autowalk want=1 now=(507,357) orig=(492,343) side=3 target=502 ms=0 wrote=1
autowalk want=1 now=(502,362) orig=(492,343) side=3 target=497 ms=0 wrote=1
autowalk want=1 now=(502,362) orig=(492,343) side=2 target=502 ms=0 wrote=1
autowalk want=1 now=(502,362) orig=(492,343) side=7 target=507 ms=0 wrote=1
autowalk want=1 now=(507,357) orig=(492,343) side=7 target=512 ms=0 wrote=1
autowalk want=1 now=(512,352) orig=(492,343) side=7 target=517 ms=0 wrote=1
autowalk want=1 now=(517,347) orig=(492,343) side=7 target=522 ms=0 wrote=1
autowalk want=1 now=(522,342) orig=(492,343) side=7 target=527 ms=0 wrote=1
autowalk want=1 now=(527,337) orig=(492,343) side=7 target=532 ms=0 wrote=1
autowalk want=1 now=(532,332) orig=(492,343) side=7 target=537 ms=0 wrote=1
autowalk want=1 now=(535,328) orig=(492,343) side=7 target=540 ms=0 wrote=1
autowalk want=1 now=(535,328) orig=(492,343) side=2 target=535 ms=1 wrote=1
autowalk want=1 now=(535,328) orig=(492,343) side=4 target=530 ms=1 wrote=1
autowalk want=1 now=(535,328) orig=(492,343) side=3 target=530 ms=1 wrote=1
autowalk want=1 now=(535,328) orig=(492,343) side=6 target=535 ms=1 wrote=1
autowalk want=1 now=(533,330) orig=(492,343) side=6 target=533 ms=1 wrote=1
autowalk want=1 now=(533,325) orig=(492,343) side=6 target=533 ms=0 wrote=1
autowalk want=1 now=(532,321) orig=(492,343) side=6 target=532 ms=0 wrote=1
autowalk want=1 now=(532,321) orig=(492,343) side=7 target=537 ms=0 wrote=1
autowalk want=1 now=(532,321) orig=(492,343) side=5 target=527 ms=0 wrote=1
autowalk want=1 now=(527,321) orig=(492,343) side=5 target=522 ms=0 wrote=1
autowalk want=1 now=(527,321) orig=(492,343) side=6 target=527 ms=0 wrote=1
autowalk want=1 now=(528,321) orig=(492,343) side=6 target=528 ms=0 wrote=1
autowalk want=1 now=(528,321) orig=(492,343) side=0 target=533 ms=0 wrote=1
autowalk want=1 now=(532,321) orig=(492,343) side=0 target=537 ms=0 wrote=1
autowalk want=1 now=(532,321) orig=(492,343) side=4 target=527 ms=0 wrote=1
autowalk want=1 now=(527,321) orig=(492,343) side=4 target=522 ms=0 wrote=1
autowalk want=1 now=(526,321) orig=(492,343) side=4 target=521 ms=0 wrote=1
autowalk want=1 now=(526,321) orig=(492,343) side=1 target=531 ms=0 wrote=1
autowalk want=1 now=(528,323) orig=(492,343) side=1 target=533 ms=0 wrote=1
autowalk want=1 now=(528,323) orig=(492,343) side=4 target=523 ms=0 wrote=1
autowalk want=1 now=(525,323) orig=(492,343) side=4 target=520 ms=0 wrote=1
autowalk want=1 now=(525,323) orig=(492,343) side=3 target=520 ms=0 wrote=1
autowalk want=1 now=(522,326) orig=(492,343) side=3 target=517 ms=0 wrote=1
autowalk want=1 now=(522,326) orig=(492,343) side=1 target=527 ms=0 wrote=1
autowalk want=1 now=(522,329) orig=(492,343) side=1 target=527 ms=0 wrote=1
autowalk want=1 now=(522,329) orig=(492,343) side=0 target=527 ms=0 wrote=1
autowalk want=1 now=(522,329) orig=(492,343) side=2 target=522 ms=0 wrote=1
autowalk want=1 now=(522,334) orig=(492,343) side=2 target=522 ms=0 wrote=1
autowalk want=1 now=(522,339) orig=(492,343) side=2 target=522 ms=0 wrote=1
autowalk want=1 now=(522,344) orig=(492,343) side=2 target=522 ms=0 wrote=1
autowalk want=1 now=(522,349) orig=(492,343) side=2 target=522 ms=0 wrote=1
autowalk want=1 now=(522,354) orig=(492,343) side=2 target=522 ms=0 wrote=1
autowalk want=1 now=(522,359) orig=(492,343) side=2 target=522 ms=0 wrote=1
autowalk want=1 now=(522,359) orig=(492,343) side=6 target=522 ms=0 wrote=1
autowalk want=1 now=(522,354) orig=(492,343) side=6 target=522 ms=0 wrote=1
autowalk want=1 now=(522,349) orig=(492,343) side=6 target=522 ms=0 wrote=1
autowalk want=1 now=(522,344) orig=(492,343) side=6 target=522 ms=0 wrote=1
autowalk want=1 now=(522,339) orig=(492,343) side=6 target=522 ms=0 wrote=1
autowalk want=1 now=(522,334) orig=(492,343) side=6 target=522 ms=0 wrote=1
autowalk want=1 now=(522,331) orig=(492,343) side=6 target=522 ms=0 wrote=1
autowalk want=1 now=(522,331) orig=(492,343) side=2 target=522 ms=0 wrote=1
autowalk want=1 now=(522,336) orig=(492,343) side=2 target=522 ms=0 wrote=1
autowalk want=1 now=(522,341) orig=(492,343) side=2 target=522 ms=0 wrote=1
autowalk want=1 now=(522,346) orig=(492,343) side=2 target=522 ms=0 wrote=1
autowalk want=1 now=(522,351) orig=(492,343) side=2 target=522 ms=0 wrote=1
autowalk want=1 now=(522,356) orig=(492,343) side=2 target=522 ms=0 wrote=1
autowalk want=1 now=(522,359) orig=(492,343) side=2 target=522 ms=0 wrote=1
autowalk want=1 now=(522,359) orig=(492,343) side=0 target=527 ms=0 wrote=1
autowalk want=1 now=(526,359) orig=(492,343) side=0 target=531 ms=0 wrote=1
autowalk want=1 now=(528,360) orig=(492,343) side=0 target=533 ms=0 wrote=1
autowalk want=1 now=(528,360) orig=(492,343) side=2 target=528 ms=1 wrote=1
autowalk want=1 now=(528,360) orig=(492,343) side=4 target=523 ms=1 wrote=1
autowalk want=1 now=(528,360) orig=(492,343) side=3 target=523 ms=1 wrote=1
autowalk want=1 now=(528,360) orig=(492,343) side=5 target=523 ms=1 wrote=1
autowalk want=1 now=(528,360) orig=(492,343) side=0 target=533 ms=1 wrote=1
autowalk want=1 now=(528,360) orig=(492,343) side=6 target=528 ms=1 wrote=1
autowalk want=1 now=(528,360) orig=(492,343) side=5 target=523 ms=1 wrote=1
autowalk want=1 now=(528,360) orig=(492,343) side=1 target=533 ms=1 wrote=1
autowalk want=1 now=(528,360) orig=(492,343) side=6 target=528 ms=1 wrote=1
