fastenc(sendmsg) ENABLED hwnd=003C0560 (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=1094 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1111 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1128 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1145 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1162 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1179 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1196 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1213 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1230 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1247 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1264 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1281 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1298 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1315 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1332 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1349 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1366 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1383 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1400 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1417 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1433 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1450 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1467 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1483 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1500 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1517 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1534 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1551 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1568 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1584 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1601 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1617 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1634 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1651 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1668 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1685 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1702 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1719 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1736 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1753 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1770 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1787 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1804 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1820 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1837 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1854 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1870 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1887 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1904 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1921 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1938 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1955 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1971 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1988 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=2005 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=2022 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=2038 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=2055 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=2071 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=2088 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=2104 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=2121 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=2138 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=2155 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=2172 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=2189 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=2205 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=2222 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=2239 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=2256 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=2272 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=2289 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=2306 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=2323 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=2340 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=2357 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=2374 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=2391 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=2408 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=2425 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=2442 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=2458 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=2475 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
