fastenc(sendmsg) ENABLED hwnd=006F0086 (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=1090 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1107 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1124 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1141 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1158 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1175 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1191 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1208 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1225 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1241 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1257 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1274 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1291 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1308 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1325 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1341 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1358 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1375 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1392 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1409 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1426 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1442 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1458 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1475 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1492 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1508 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1524 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1541 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1558 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1574 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
