autowalk want=0 now=(0,0) orig=(0,0) side=0 target=0 ms=0 wrote=0
autowalk want=1 now=(14,13) orig=(14,13) side=0 target=17 ms=0 wrote=1
autowalk want=1 now=(17,13) orig=(14,13) side=1 target=11 ms=0 wrote=1
autowalk want=1 now=(11,13) orig=(14,13) side=0 target=17 ms=0 wrote=1
autowalk want=1 now=(17,13) orig=(14,13) side=1 target=11 ms=0 wrote=1
autowalk want=1 now=(11,13) orig=(14,13) side=0 target=17 ms=0 wrote=1
autowalk want=1 now=(17,13) orig=(14,13) side=1 target=11 ms=0 wrote=1
autowalk want=1 now=(11,13) orig=(14,13) side=0 target=17 ms=0 wrote=1
autowalk want=1 now=(17,13) orig=(14,13) side=1 target=11 ms=0 wrote=1
autowalk want=1 now=(11,13) orig=(14,13) side=0 target=17 ms=0 wrote=1
autowalk want=1 now=(17,13) orig=(14,13) side=1 target=11 ms=0 wrote=1
autowalk want=1 now=(11,13) orig=(14,13) side=0 target=17 ms=0 wrote=1
autowalk want=1 now=(17,13) orig=(14,13) side=1 target=11 ms=0 wrote=1
autowalk want=1 now=(11,13) orig=(14,13) side=0 target=17 ms=0 wrote=1
autowalk want=1 now=(17,13) orig=(14,13) side=1 target=11 ms=0 wrote=1
autowalk want=1 now=(11,13) orig=(14,13) side=0 target=17 ms=0 wrote=1
autowalk want=1 now=(17,13) orig=(14,13) side=1 target=11 ms=0 wrote=1
autowalk want=1 now=(11,13) orig=(14,13) side=0 target=17 ms=0 wrote=1
autowalk want=1 now=(17,13) orig=(14,13) side=1 target=11 ms=0 wrote=1
autowalk want=1 now=(11,13) orig=(14,13) side=0 target=17 ms=0 wrote=1
autowalk want=1 now=(17,13) orig=(14,13) side=1 target=11 ms=0 wrote=1
autowalk want=1 now=(11,13) orig=(14,13) side=0 target=17 ms=0 wrote=1
autowalk want=1 now=(15,13) orig=(14,13) side=0 target=17 ms=0 wrote=1
autowalk want=0 now=(15,13) orig=(14,13) side=0 target=0 ms=0 wrote=0
autowalk want=1 now=(15,13) orig=(15,13) side=0 target=18 ms=1 wrote=1
autowalk want=1 now=(18,13) orig=(15,13) side=1 target=12 ms=0 wrote=1
autowalk want=1 now=(15,13) orig=(15,13) side=1 target=12 ms=0 wrote=1
autowalk want=1 now=(12,13) orig=(15,13) side=0 target=18 ms=0 wrote=1
autowalk want=1 now=(18,13) orig=(15,13) side=1 target=12 ms=0 wrote=1
autowalk want=1 now=(12,13) orig=(15,13) side=0 target=18 ms=0 wrote=1
autowalk want=1 now=(18,13) orig=(15,13) side=1 target=12 ms=0 wrote=1
autowalk want=1 now=(12,13) orig=(15,13) side=0 target=18 ms=0 wrote=1
autowalk want=1 now=(18,13) orig=(15,13) side=1 target=12 ms=0 wrote=1
autowalk want=1 now=(12,13) orig=(15,13) side=0 target=18 ms=0 wrote=1
autowalk want=1 now=(18,13) orig=(15,13) side=1 target=12 ms=0 wrote=1
autowalk want=1 now=(12,13) orig=(15,13) side=0 target=18 ms=0 wrote=1
autowalk want=1 now=(18,13) orig=(15,13) side=1 target=12 ms=0 wrote=1
autowalk want=1 now=(12,13) orig=(15,13) side=0 target=18 ms=0 wrote=1
autowalk want=1 now=(17,13) orig=(15,13) side=0 target=18 ms=0 wrote=1
autowalk want=1 now=(18,13) orig=(15,13) side=1 target=12 ms=0 wrote=1
autowalk want=1 now=(12,13) orig=(15,13) side=0 target=18 ms=0 wrote=1
autowalk want=1 now=(18,13) orig=(15,13) side=1 target=12 ms=0 wrote=1
autowalk want=1 now=(12,13) orig=(15,13) side=0 target=18 ms=0 wrote=1
autowalk want=1 now=(18,13) orig=(15,13) side=1 target=12 ms=0 wrote=1
autowalk want=1 now=(12,13) orig=(15,13) side=0 target=18 ms=0 wrote=1
autowalk want=1 now=(18,13) orig=(15,13) side=1 target=12 ms=0 wrote=1
autowalk want=1 now=(12,13) orig=(15,13) side=0 target=18 ms=0 wrote=1
autowalk want=1 now=(18,13) orig=(15,13) side=1 target=12 ms=0 wrote=1
autowalk want=1 now=(12,13) orig=(15,13) side=0 target=18 ms=0 wrote=1
autowalk want=1 now=(18,13) orig=(15,13) side=1 target=12 ms=0 wrote=1
autowalk want=1 now=(12,13) orig=(15,13) side=0 target=18 ms=0 wrote=1
autowalk want=1 now=(18,13) orig=(15,13) side=1 target=12 ms=0 wrote=1
autowalk want=1 now=(12,13) orig=(15,13) side=0 target=18 ms=0 wrote=1
autowalk want=1 now=(18,13) orig=(15,13) side=1 target=12 ms=0 wrote=1
autowalk want=1 now=(12,13) orig=(15,13) side=0 target=18 ms=0 wrote=1
autowalk want=1 now=(18,13) orig=(15,13) side=1 target=12 ms=0 wrote=1
autowalk want=1 now=(12,13) orig=(15,13) side=0 target=18 ms=0 wrote=1
autowalk want=1 now=(13,13) orig=(15,13) side=0 target=18 ms=0 wrote=1
autowalk want=1 now=(17,13) orig=(15,13) side=0 target=18 ms=0 wrote=1
autowalk want=1 now=(18,13) orig=(15,13) side=1 target=12 ms=0 wrote=1
autowalk want=1 now=(12,13) orig=(15,13) side=0 target=18 ms=0 wrote=1
autowalk want=1 now=(18,13) orig=(15,13) side=1 target=12 ms=0 wrote=1
autowalk want=1 now=(12,13) orig=(15,13) side=0 target=18 ms=0 wrote=1
autowalk want=1 now=(18,13) orig=(15,13) side=1 target=12 ms=0 wrote=1
autowalk want=1 now=(12,13) orig=(15,13) side=0 target=18 ms=0 wrote=1
autowalk want=0 now=(18,13) orig=(15,13) side=0 target=0 ms=0 wrote=0
