fastenc(sendmsg) ENABLED hwnd=003D054A (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=1088 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1105 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1122 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1139 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1155 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1172 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1189 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1206 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1223 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1240 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1256 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1273 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1290 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1307 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1324 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1341 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1358 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1375 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1392 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1408 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1425 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1442 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1459 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1476 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1493 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1509 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1526 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1543 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1560 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1577 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1594 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1610 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1627 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1644 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1661 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1677 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1694 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1711 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1728 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1745 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1762 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1778 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1795 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1812 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1829 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1846 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1863 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1879 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1896 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1913 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1930 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
