fastenc(sendmsg) ENABLED hwnd=004402EE (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=807 smto=1 res=0 battling=0 pos=(263,651) (1/tick)
fastenc(sendmsg) sent cnt=823 smto=1 res=0 battling=0 pos=(263,651) (1/tick)
fastenc(sendmsg) sent cnt=833 smto=1 res=0 battling=0 pos=(262,651) (1/tick)
fastenc(sendmsg) sent cnt=837 smto=1 res=0 battling=0 pos=(262,651) (1/tick)
fastenc(sendmsg) sent cnt=854 smto=1 res=0 battling=0 pos=(262,651) (1/tick)
fastenc(sendmsg) sent cnt=871 smto=1 res=0 battling=0 pos=(262,651) (1/tick)
fastenc(sendmsg) sent cnt=887 smto=1 res=0 battling=0 pos=(261,651) (1/tick)
fastenc(sendmsg) sent cnt=890 smto=1 res=0 battling=0 pos=(261,651) (1/tick)
fastenc(sendmsg) sent cnt=907 smto=1 res=0 battling=0 pos=(261,651) (1/tick)
fastenc(sendmsg) sent cnt=923 smto=1 res=0 battling=0 pos=(261,651) (1/tick)
fastenc(sendmsg) sent cnt=937 smto=1 res=0 battling=0 pos=(260,651) (1/tick)
fastenc(sendmsg) sent cnt=950 smto=1 res=0 battling=0 pos=(260,651) (1/tick)
fastenc(sendmsg) sent cnt=955 smto=1 res=0 battling=0 pos=(260,651) (1/tick)
fastenc(sendmsg) sent cnt=959 smto=1 res=0 battling=0 pos=(260,651) (1/tick)
fastenc(sendmsg) sent cnt=966 smto=1 res=0 battling=0 pos=(260,651) (1/tick)
fastenc(sendmsg) sent cnt=970 smto=1 res=0 battling=0 pos=(260,651) (1/tick)
fastenc(sendmsg) sent cnt=977 smto=1 res=0 battling=0 pos=(259,651) (1/tick)
fastenc(sendmsg) sent cnt=987 smto=1 res=0 battling=0 pos=(258,651) (1/tick)
fastenc(sendmsg) sent cnt=1000 smto=1 res=0 battling=0 pos=(257,651) (1/tick)
fastenc(sendmsg) sent cnt=1015 smto=1 res=0 battling=0 pos=(257,651) (1/tick)
fastenc(sendmsg) sent cnt=1019 smto=1 res=0 battling=0 pos=(257,651) (1/tick)
fastenc(sendmsg) sent cnt=1028 smto=1 res=0 battling=0 pos=(256,651) (1/tick)
fastenc(sendmsg) sent cnt=1032 smto=1 res=0 battling=0 pos=(256,651) (1/tick)
fastenc(sendmsg) sent cnt=1048 smto=1 res=0 battling=0 pos=(256,651) (1/tick)
fastenc(sendmsg) sent cnt=1053 smto=1 res=0 battling=0 pos=(255,651) (1/tick)
fastenc(sendmsg) sent cnt=1055 smto=1 res=0 battling=0 pos=(254,651) (1/tick)
fastenc(sendmsg) sent cnt=1062 smto=1 res=0 battling=0 pos=(254,651) (1/tick)
fastenc(sendmsg) sent cnt=1064 smto=1 res=0 battling=0 pos=(253,651) (1/tick)
fastenc(sendmsg) sent cnt=1073 smto=1 res=0 battling=0 pos=(253,651) (1/tick)
fastenc(sendmsg) sent cnt=1083 smto=1 res=0 battling=0 pos=(252,651) (1/tick)
fastenc(sendmsg) sent cnt=1089 smto=1 res=0 battling=0 pos=(251,651) (1/tick)
fastenc(sendmsg) sent cnt=1106 smto=1 res=0 battling=0 pos=(251,651) (1/tick)
fastenc(sendmsg) sent cnt=1122 smto=1 res=0 battling=0 pos=(250,651) (1/tick)
fastenc(sendmsg) sent cnt=1131 smto=1 res=0 battling=0 pos=(249,651) (1/tick)
fastenc(sendmsg) sent cnt=1147 smto=1 res=0 battling=0 pos=(249,651) (1/tick)
fastenc(sendmsg) sent cnt=1162 smto=1 res=0 battling=0 pos=(248,651) (1/tick)
fastenc(sendmsg) sent cnt=1166 smto=1 res=0 battling=0 pos=(247,651) (1/tick)
